,Unnamed: 0,disease,workout
0,0,Fungal infection,Avoid sugary foods
1,1,Fungal infection,Consume probiotics
2,2,Fungal infection,Increase intake of garlic
3,3,Fungal infection,Include yogurt in diet
4,4,Fungal infection,Limit processed foods
5,5,Fungal infection,Stay hydrated
6,6,Fungal infection,Consume green tea
7,7,Fungal infection,Eat foods rich in zinc
8,8,Fungal infection,Include turmeric in diet
9,9,Fungal infection,Eat fruits and vegetables
10,10,Allergy,Avoid allergenic foods
11,11,Allergy,Consume anti-inflammatory foods
12,12,Allergy,Include omega-3 fatty acids
13,13,Allergy,Stay hydrated
14,14,Allergy,Eat foods rich in vitamin C
15,15,Allergy,Include quercetin-rich foods
16,16,Allergy,Consume local honey
17,17,Allergy,Limit processed foods
18,18,Allergy,Include ginger in diet
19,19,Allergy,Avoid artificial additives
20,20,GERD,Consume smaller meals
21,21,GERD,"Avoid trigger foods (spicy, fatty)"
22,22,GERD,Eat high-fiber foods
23,23,GERD,Limit caffeine and alcohol
24,24,GERD,Chew food thoroughly
25,25,GERD,Avoid late-night eating
26,26,GERD,Consume non-citrus fruits
27,27,GERD,Include lean proteins
28,28,GERD,Stay hydrated
29,29,GERD,Avoid carbonated beverages
30,30,Chronic cholestasis,Consume a low-fat diet
31,31,Chronic cholestasis,Eat high-fiber foods
32,32,Chronic cholestasis,Include healthy fats
33,33,Chronic cholestasis,Limit alcohol consumption
34,34,Chronic cholestasis,Stay hydrated
35,35,Chronic cholestasis,Consume antioxidant-rich foods
36,36,Chronic cholestasis,Include omega-3 fatty acids
37,37,Chronic cholestasis,Include lean proteins
38,38,Chronic cholestasis,Limit processed foods
39,39,Chronic cholestasis,Avoid fried foods
40,40,Drug Reaction,Discontinue offending medication
41,41,Drug Reaction,Stay hydrated
42,42,Drug Reaction,Include anti-inflammatory foods
43,43,Drug Reaction,Consume antioxidants
44,44,Drug Reaction,Avoid trigger foods
45,45,Drug Reaction,Include omega-3 fatty acids
46,46,Drug Reaction,Limit caffeine and alcohol
47,47,Drug Reaction,Stay hydrated
48,48,Drug Reaction,Eat a balanced diet
49,49,Drug Reaction,Consult a healthcare professional
50,50,Peptic ulcer disease,"Consume smaller, more frequent meals"
51,51,Peptic ulcer disease,"Avoid trigger foods (spicy, acidic)"
52,52,Peptic ulcer disease,Include high-fiber foods
53,53,Peptic ulcer disease,Limit caffeine and alcohol
54,54,Peptic ulcer disease,Stay hydrated
55,55,Peptic ulcer disease,Consume probiotics
56,56,Peptic ulcer disease,Include lean proteins
57,57,Peptic ulcer disease,Include antioxidant-rich foods
58,58,Peptic ulcer disease,Limit processed foods
59,59,Peptic ulcer disease,Avoid smoking and alcohol
60,60,AIDS,Follow a balanced and nutritious diet
61,61,AIDS,Include lean proteins
62,62,AIDS,Consume nutrient-rich foods
63,63,AIDS,Stay hydrated
64,64,AIDS,Include healthy fats
65,65,AIDS,Avoid raw or undercooked foods
66,66,AIDS,Limit sugary foods and beverages
67,67,AIDS,Consume immune-boosting foods
68,68,AIDS,Take prescribed supplements
69,69,AIDS,Consult a healthcare professional
70,70,Gastroenteritis,Stay hydrated
71,71,Gastroenteritis,Consume clear fluids
72,72,Gastroenteritis,"Follow the BRAT diet (bananas, rice, applesauce, toast)"
73,73,Gastroenteritis,Include bland foods
74,74,Gastroenteritis,Avoid fatty and greasy foods
75,75,Gastroenteritis,Limit caffeine and alcohol
76,76,Gastroenteritis,Avoid spicy foods
77,77,Gastroenteritis,Consult a healthcare professional
78,78,Gastroenteritis,Gradually reintroduce solid foods
79,79,Gastroenteritis,Avoid dairy products
80,80,Bronchial Asthma,Include anti-inflammatory foods
81,81,Bronchial Asthma,Consume omega-3 fatty acids
82,82,Bronchial Asthma,Limit sodium intake
83,83,Bronchial Asthma,Stay hydrated
84,84,Bronchial Asthma,Include antioxidant-rich foods
85,85,Bronchial Asthma,Avoid sulfite-containing foods
86,86,Bronchial Asthma,Limit processed foods
87,87,Bronchial Asthma,Consume magnesium-rich foods
88,88,Bronchial Asthma,Consult a healthcare professional
89,89,Bronchial Asthma,Avoid trigger foods
90,90,Hypertension,Follow the DASH diet (Dietary Approaches to Stop Hypertension)
91,91,Hypertension,Limit sodium intake
92,92,Hypertension,Include potassium-rich foods
93,93,Hypertension,Stay hydrated
94,94,Hypertension,Consume calcium-rich foods
95,95,Hypertension,Limit alcohol consumption
96,96,Hypertension,Include magnesium-rich foods
97,97,Hypertension,Consume omega-3 fatty acids
98,98,Hypertension,Limit processed foods
99,99,Hypertension,Consult a healthcare professional
100,100,Migraine,Identify and avoid trigger foods
101,101,Migraine,Stay hydrated
102,102,Migraine,Include magnesium-rich foods
103,103,Migraine,Consume omega-3 fatty acids
104,104,Migraine,Limit caffeine and alcohol
105,105,Migraine,Consume riboflavin-rich foods
106,106,Migraine,Limit processed foods
107,107,Migraine,Maintain regular meal times
108,108,Migraine,Consult a healthcare professional
109,109,Migraine,Manage stress
110,110,Cervical spondylosis,Include anti-inflammatory foods
111,111,Cervical spondylosis,Consume omega-3 fatty acids
112,112,Cervical spondylosis,Include vitamin D-rich foods
113,113,Cervical spondylosis,Stay hydrated
114,114,Cervical spondylosis,Consume antioxidant-rich foods
115,115,Cervical spondylosis,Limit processed foods
116,116,Cervical spondylosis,Include lean proteins
117,117,Cervical spondylosis,Practice good posture
118,118,Cervical spondylosis,Consult a healthcare professional
119,119,Cervical spondylosis,Engage in regular exercise
120,120,Paralysis (brain hemorrhage),Follow a balanced and nutritious diet
121,121,Paralysis (brain hemorrhage),Include lean proteins
122,122,Paralysis (brain hemorrhage),Consume nutrient-rich foods
123,123,Paralysis (brain hemorrhage),Stay hydrated
124,124,Paralysis (brain hemorrhage),Include healthy fats
125,125,Paralysis (brain hemorrhage),Limit sugary foods and beverages
126,126,Paralysis (brain hemorrhage),Include antioxidants
127,127,Paralysis (brain hemorrhage),Consume foods rich in vitamin K
128,128,Paralysis (brain hemorrhage),Consult a healthcare professional
129,129,Paralysis (brain hemorrhage),Manage stress
130,130,Jaundice,Stay hydrated
131,131,Jaundice,Consume nutrient-rich foods
132,132,Jaundice,Include protein-rich foods
133,133,Jaundice,Consume easily digestible foods
134,134,Jaundice,Limit fatty foods
135,135,Jaundice,Avoid alcohol and caffeine
136,136,Jaundice,Include vitamin C-rich foods
137,137,Jaundice,Consult a healthcare professional
138,138,Jaundice,Rest and conserve energy
139,139,Jaundice,Gradually resume normal diet
140,140,Malaria,Stay hydrated
141,141,Malaria,Consume nutrient-rich foods
142,142,Malaria,Include protein-rich foods
143,143,Malaria,Consume foods rich in antioxidants
144,144,Malaria,Limit fatty and greasy foods
145,145,Malaria,Avoid alcohol and caffeine
146,146,Malaria,Include vitamin C-rich foods
147,147,Malaria,Consult a healthcare professional
148,148,Malaria,Rest and conserve energy
149,149,Malaria,Gradually resume normal diet
150,150,Chicken pox,Stay hydrated
151,151,Chicken pox,Include easily digestible foods
152,152,Chicken pox,Include vitamin C-rich foods
153,153,Chicken pox,Consume protein-rich foods
154,154,Chicken pox,Include zinc-rich foods
155,155,Chicken pox,Avoid spicy and acidic foods
156,156,Chicken pox,Consult a healthcare professional
157,157,Chicken pox,Practice good hygiene
158,158,Chicken pox,Rest and conserve energy
159,159,Chicken pox,Gradually resume normal diet
160,160,Dengue,Stay hydrated
161,161,Dengue,Include nutrient-rich foods
162,162,Dengue,Consume foods rich in vitamin C and antioxidants
163,163,Dengue,Limit fatty and greasy foods
164,164,Dengue,Avoid caffeine and alcohol
165,165,Dengue,Include soft and easily digestible foods
166,166,Dengue,Consult a healthcare professional
167,167,Dengue,Rest and conserve energy
168,168,Dengue,Gradually resume normal diet
